UF,Municipio,Regiao,Media_PIB
MG,Ponte Nova,Sudeste,1.55875
SP,Luiziânia,Sudeste,0.06750
RJ,Quissamã,Sudeste,2.95250
MG,Olímpio Noronha,Sudeste,0.03500
SP,Nova Campina,Sudeste,0.24125
SP,Itaporanga,Sudeste,0.26875
SP,Taguaí,Sudeste,0.22000
SP,Jales,Sudeste,1.37000
SP,Guararema,Sudeste,1.40250
MG,Conceição do Pará,Sudeste,0.24375
MG,Iturama,Sudeste,1.91875
SP,Taiaçu,Sudeste,0.08375
SP,Paraíso,Sudeste,0.21125
SP,Tupã,Sudeste,1.71375
MG,Presidente Kubitschek,Sudeste,0.02625
MG,Ituiutaba,Sudeste,2.93375
MG,Jesuânia,Sudeste,0.05875
MG,Machacalis,Sudeste,0.07375
SP,Arandu,Sudeste,0.11500
MG,Nepomuceno,Sudeste,0.43250
MG,Mato Verde,Sudeste,0.11875
MG,Ponto dos Volantes,Sudeste,0.09000
SP,Bragança Paulista,Sudeste,5.55375
SP,Piracaia,Sudeste,0.46875
MG,Ouro Fino,Sudeste,0.63625
SP,Narandiba,Sudeste,0.20125
MG,Joaquim Felício,Sudeste,0.04625
MG,Ibiá,Sudeste,0.90250
MG,Três Pontas,Sudeste,1.19750
ES,Viana,Sudeste,2.29750
MG,Santana do Garambéu,Sudeste,0.02750
MG,Campo Belo,Sudeste,0.94625
SP,Jardinópolis,Sudeste,1.04500
MG,Felisburgo,Sudeste,0.05875
SP,Oscar Bressane,Sudeste,0.08125
SP,Sandovalina,Sudeste,0.39125
MG,Romaria,Sudeste,0.16625
MG,Congonhal,Sudeste,0.17625
ES,Iconha,Sudeste,0.29750
SP,Indaiatuba,Sudeste,13.86625
MG,Coromandel,Sudeste,0.93250
RJ,Bom Jardim,Sudeste,0.68875
MG,Monte Carmelo,Sudeste,1.15250
ES,Irupi,Sudeste,0.19125
MG,Doresópolis,Sudeste,0.05125
SP,Pontalinda,Sudeste,0.07375
MG,Manhumirim,Sudeste,0.42375
MG,Juatuba,Sudeste,1.15250
MG,Centralina,Sudeste,0.21875
MG,Elói Mendes,Sudeste,0.52125
MG,Crucilândia,Sudeste,0.05875
SP,Cerquilho,Sudeste,1.74000
MG,Medeiros,Sudeste,0.12500
RJ,Armação dos Búzios,Sudeste,2.49250
SP,Cabrália Paulista,Sudeste,0.07875
MG,Jenipapo de Minas,Sudeste,0.05875
MG,Espírito Santo do Dourado,Sudeste,0.07625
MG,Ipatinga,Sudeste,9.96500
ES,São José do Calçado,Sudeste,0.15000
MG,Nova Resende,Sudeste,0.26875
SP,Capela do Alto,Sudeste,0.28125
MG,Cabeceira Grande,Sudeste,0.23750
MG,Águas Vermelhas,Sudeste,0.18875
ES,Governador Lindenberg,Sudeste,0.19750
MG,Catas Altas,Sudeste,0.58625
ES,Itapemirim,Sudeste,4.64625
SP,Angatuba,Sudeste,0.93250
MG,Botelhos,Sudeste,0.22375
MG,Ipanema,Sudeste,0.22500
SP,Vista Alegre do Alto,Sudeste,0.32125
SP,Palmital,Sudeste,0.63875
SP,Dracena,Sudeste,1.15875
SP,Pindamonhangaba,Sudeste,7.29250
SP,Colômbia,Sudeste,0.30125
MG,Cuparaque,Sudeste,0.05000
MG,Varjão de Minas,Sudeste,0.16500
SP,Pradópolis,Sudeste,0.76750
SP,Itápolis,Sudeste,1.29125
ES,Santa Maria de Jetibá,Sudeste,1.21000
SP,Panorama,Sudeste,0.26125
ES,Venda Nova do Imigrante,Sudeste,0.54625
SP,Marapoama,Sudeste,0.21000
SP,Catanduva,Sudeste,3.98000
SP,Potirendaba,Sudeste,0.48750
MG,Cristália,Sudeste,0.04500
SP,Junqueirópolis,Sudeste,0.61500
SP,Coroados,Sudeste,0.14750
MG,São Tomás de Aquino,Sudeste,0.12750
SP,Ribeirão Bonito,Sudeste,0.26500
MG,Arapuá,Sudeste,0.11500
SP,Birigui,Sudeste,3.13500
RJ,Rio das Flores,Sudeste,0.21750
SP,Borebi,Sudeste,0.05750
MG,Catuti,Sudeste,0.03875
MG,Alfenas,Sudeste,2.33875
MG,Estrela Dalva,Sudeste,0.02875
MG,Mantena,Sudeste,0.36500
SP,Leme,Sudeste,2.99250
MG,Serra dos Aimorés,Sudeste,0.09125
MG,Santana de Cataguases,Sudeste,0.04125
